event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,price_segment
2019-10-01 02:38:53+00:00,purchase,26201191,2.0530135636933356e+18,unknown,lucente,90.61,538338145,69c1511c-d15d-4358-8623-2ff7061d43e2,$50-100
2019-10-01 03:03:16+00:00,purchase,1004870,2.0530135556318828e+18,electronics.smartphone,samsung,286.86,551343044,a1ba2d90-c129-40d4-bf0d-eba7f3f9e321,$200-500
2019-10-01 03:10:26+00:00,purchase,1004870,2.0530135556318828e+18,electronics.smartphone,samsung,286.86,555148121,60747367-0566-4965-b8f6-fbb1e59e283d,$200-500
2019-10-01 03:11:54+00:00,purchase,1004856,2.0530135556318828e+18,electronics.smartphone,samsung,130.76,525921810,4454bd5f-d19a-45ab-9580-de392e690c67,$100-200
2019-10-01 03:36:30+00:00,purchase,26202832,2.0530135636933356e+18,unknown,efremov,112.23,534766227,52f64243-3cba-4420-bcc5-8a1e55051ad3,$100-200
2019-10-01 04:13:31+00:00,purchase,26300089,2.0530135635842836e+18,unknown,lucente,271.82,555477603,8380101b-7dfd-4fd7-a394-21e6c8425f66,$200-500
2019-10-01 04:18:21+00:00,purchase,12202300,2.1169075251765576e+18,sport.bicycle,phoenix,231.38,548046388,56458e43-4266-4c1c-b893-9f9c9a87e879,$200-500
2019-10-01 04:34:05+00:00,purchase,1004870,2.0530135556318828e+18,electronics.smartphone,samsung,286.86,512977906,154afb3c-7ec1-4911-b1e3-8998bff7447b,$200-500
2019-10-01 04:50:51+00:00,purchase,1004777,2.0530135556318828e+18,electronics.smartphone,xiaomi,135.14,537145576,3aeab34f-7a5d-44f4-9b9f-bce7bf05a43d,$100-200
2019-10-01 04:54:10+00:00,purchase,2900516,2.0530135547762445e+18,appliances.kitchen.microwave,dauscher,58.95,531509517,83f2ae21-e31d-4d71-8fd0-953641768424,$50-100
2019-10-01 05:02:50+00:00,purchase,1004211,2.0530135556318828e+18,electronics.smartphone,samsung,97.79,547878505,0221e59d-6094-4d3c-9dba-0ae63e3e21d6,$50-100
2019-10-01 05:04:00+00:00,purchase,1004211,2.0530135556318828e+18,electronics.smartphone,samsung,97.79,547878505,0221e59d-6094-4d3c-9dba-0ae63e3e21d6,$50-100
2019-10-01 05:10:25+00:00,purchase,1004856,2.0530135556318828e+18,electronics.smartphone,samsung,130.76,555491663,25e2a0f4-16fc-4318-a57c-0a71abcda6cf,$100-200
2019-10-01 05:13:34+00:00,purchase,1004566,2.0530135556318828e+18,electronics.smartphone,huawei,175.83,547878505,0221e59d-6094-4d3c-9dba-0ae63e3e21d6,$100-200
2019-10-01 05:14:34+00:00,purchase,1004566,2.0530135556318828e+18,electronics.smartphone,huawei,175.83,547878505,0221e59d-6094-4d3c-9dba-0ae63e3e21d6,$100-200
2019-10-01 05:23:57+00:00,purchase,3800731,2.0530135661763635e+18,appliances.iron,vitek,25.97,512815726,dd7c58ca-ee7e-49cc-bb7b-69910d89699f,<$50
2019-10-01 05:57:14+00:00,purchase,1004873,2.0530135556318828e+18,electronics.smartphone,samsung,388.81,538266294,862044de-bab4-407d-9891-3a929f63c946,$200-500
2019-10-01 06:05:23+00:00,purchase,12300704,2.05301355631136e+18,construction.tools.drill,,90.07,543040105,a9bf1e68-598c-44ff-a222-184477d97d97,$50-100
2019-10-01 06:07:44+00:00,purchase,26400788,2.0530135636513925e+18,unknown,,192.03,538338145,e65947d2-259b-45dc-aba3-74d8244637d3,$100-200
2019-10-01 06:24:25+00:00,purchase,5100575,2.0530135533417925e+18,electronics.clocks,apple,445.7,520907653,82156409-def6-4364-89dd-a024315dec5d,$200-500
2019-10-01 06:29:47+00:00,purchase,1201343,2.172371436436456e+18,electronics.tablet,lenovo,192.76,555511440,cc500ca5-8fcc-4c13-94fd-a17b0f1cb5cc,$100-200
2019-10-01 06:54:43+00:00,purchase,14100635,2.0530135576703145e+18,electronics.audio.acoustic,denn,38.07,554446039,91f06be6-4b28-4a8d-be21-052ba5127c6e,<$50
2019-10-01 07:17:58+00:00,purchase,1002633,2.0530135556318828e+18,electronics.smartphone,apple,360.08,527037229,857134fa-dc02-41d5-a66c-db9968ee7d17,$200-500
2019-10-01 07:25:58+00:00,purchase,1004795,2.0530135556318828e+18,electronics.smartphone,xiaomi,248.89,552497988,f687bb2e-e844-4733-a667-0c0b6e9fb90e,$200-500
2019-10-01 07:44:02+00:00,purchase,1004872,2.0530135556318828e+18,electronics.smartphone,samsung,286.35,538266294,1a3fa798-3146-4f4c-8974-3139b4056f40,$200-500
2019-10-01 07:48:00+00:00,purchase,12200542,2.1169075251765576e+18,sport.bicycle,phoenix,257.12,548046388,38e58e88-e991-4155-bf15-c522663d1c6d,$200-500
2019-10-01 07:51:06+00:00,purchase,16500007,2.053013556462355e+18,unknown,omron,62.52,512972256,9dae308b-7cf2-4b58-a3b8-50ff0233bfbc,$50-100
2019-10-01 08:01:45+00:00,purchase,1307073,2.053013558920217e+18,computers.notebook,acer,669.0,554208263,16e176af-e9be-469c-8d30-706c477c9039,$500-1000
2019-10-01 08:06:23+00:00,purchase,26300405,2.0530135634249e+18,unknown,vega,15.44,529018215,c917f546-bc2d-4ab7-af33-c3846b63f2aa,<$50
2019-10-01 08:07:42+00:00,purchase,1004565,2.0530135556318828e+18,electronics.smartphone,huawei,177.44,555169479,909300d2-37c0-4cce-983a-f3a86e2944ac,$100-200
2019-10-01 08:11:21+00:00,purchase,1005105,2.0530135556318828e+18,electronics.smartphone,apple,1415.48,542555216,759644bf-24fd-4afe-a56d-4e631d165f55,>$1000
2019-10-01 08:29:46+00:00,purchase,1004247,2.0530135556318828e+18,electronics.smartphone,apple,808.59,551711079,586de6e5-d9c4-453d-a37f-6d6227f710e9,$500-1000
2019-10-01 08:40:54+00:00,purchase,1004258,2.0530135556318828e+18,electronics.smartphone,apple,733.81,555550709,d4c9ef75-80d2-4c29-be92-2cc9dd433a1f,$500-1000
2019-10-01 09:06:55+00:00,purchase,1004835,2.0530135556318828e+18,electronics.smartphone,samsung,230.89,514934560,b602f1ad-8a59-48da-8cd7-5525ca8f21e3,$200-500
2019-10-01 09:12:24+00:00,purchase,1004669,2.0530135556318828e+18,electronics.smartphone,xiaomi,74.39,512607231,1b7d9146-0172-4af6-91d8-9ad93a91dde6,$50-100
2019-10-01 09:13:09+00:00,purchase,1307073,2.053013558920217e+18,computers.notebook,acer,669.0,542012116,c41283d8-53cc-459b-8b45-bd5115e495e3,$500-1000
